INFO 2024-12-01 13:03:52,759 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 13:03:52,760 autoreload Waiting for apps ready_event.
DEBUG 2024-12-01 13:03:52,798 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-01 13:03:52,805 autoreload Watching dir C:\python\django\personal\templates with glob **/*.
DEBUG 2024-12-01 13:03:52,805 autoreload Watching dir C:\python\django\personal\locale with glob **/*.mo.
DEBUG 2024-12-01 13:03:52,805 autoreload Watching dir C:\python\django\personal\blog\locale with glob **/*.mo.
DEBUG 2024-12-01 13:03:52,836 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-01 13:03:52,838 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\weakref.py first seen with mtime 1670375372.0
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\coroutines.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1703779348.9455209
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\mimetypes.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1703779348.94052
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\forms\renderers.py first seen with mtime 1703779348.94952
DEBUG 2024-12-01 13:03:52,874 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1670375372.0
